,0,1,2,3,4,5,6,7
244284,93,60,52,74,42,73,0,0
244796,89,58,60,71,41,78,0,0
245308,88,66,61,70,39,80,0,0
245820,82,73,47,82,28,28,0,0
246332,88,70,42,85,36,28,0,0
246844,83,73,47,87,32,26,0,0
247356,85,73,42,84,32,26,0,0
247868,88,71,50,86,39,23,0,0
248380,87,74,41,87,35,21,0,0
248892,85,78,45,87,29,27,0,0
249404,89,74,43,89,32,24,0,0
249916,84,71,49,82,32,28,0,0
250428,83,78,43,82,34,28,0,0
250940,84,77,68,85,42,56,0,0
251452,91,73,64,88,46,53,0,0
251964,83,77,68,91,43,55,0,0
252476,88,77,66,88,45,50,0,0
252988,91,78,72,89,44,52,0,0
253500,89,78,58,90,46,44,0,0
254012,88,80,65,90,45,50,0,0
254524,93,78,61,92,44,50,0,0
255036,86,73,67,87,45,50,0,0
255548,86,81,65,86,44,54,0,0
256060,87,81,86,89,52,80,0,0
256572,93,77,80,92,57,79,0,0
257084,88,79,85,93,55,80,0,0
257596,91,80,82,90,54,78,0,0
258108,92,79,91,89,54,80,0,0
258620,91,82,81,92,55,75,0,0
259132,89,84,86,92,52,80,0,0
259644,94,81,84,94,52,74,0,0
260156,89,76,90,87,51,82,0,0
260668,88,84,82,87,53,80,0,0
261180,82,92,73,101,44,29,0,0
261692,89,91,68,101,46,26,0,0
262204,82,94,77,97,46,27,0,0
262716,85,96,73,99,49,27,0,0
263228,89,91,74,102,47,24,0,0
263740,87,96,70,100,49,25,0,0
264252,86,94,73,102,51,24,0,0
264764,88,93,72,102,47,24,0,0
265276,84,94,73,100,47,28,0,0
265788,83,100,73,98,49,25,0,0
266300,84,96,94,106,58,50,0,0
266812,89,94,88,103,59,51,0,0
267324,83,96,97,99,55,55,0,0
267836,87,98,92,101,62,47,0,0
268348,91,97,97,106,57,49,0,0
268860,89,99,87,105,61,50,0,0
269372,88,96,88,103,61,58,0,0
269884,91,98,91,107,58,42,0,0
270396,87,96,90,104,60,50,0,0
270908,85,101,95,102,60,55,0,0
271420,87,99,112,108,69,80,0,0
271932,93,97,110,107,70,80,0,0
272444,88,100,118,102,69,81,0,0
272956,89,101,112,105,72,76,0,0
273468,93,98,115,108,70,77,0,0
273980,92,104,109,106,69,77,0,0
274492,90,100,113,106,72,80,0,0
275004,93,96,110,109,72,74,0,0
275516,88,100,112,105,69,79,0,0
276028,89,103,112,105,69,80,0,0
286780,22,32,63,17,25,64,0,0
287292,19,29,59,23,29,61,0,0
287804,19,30,60,20,31,61,0,0
288316,18,32,65,18,28,64,0,0
288828,18,28,62,20,31,63,0,0
289340,15,31,64,23,29,63,0,0
289852,17,31,69,19,21,65,0,0
290364,16,27,64,20,30,63,0,0
290876,23,29,62,14,29,62,0,0
291388,20,35,68,16,26,64,0,0
297020,18,46,72,29,31,34,0,0
297532,18,49,74,32,29,35,0,0
298044,18,49,74,32,30,34,0,0
298556,16,48,70,34,30,36,0,0
299068,16,43,69,32,33,40,0,0
299580,13,44,71,37,33,37,0,0
300092,16,50,73,34,30,37,0,0
300604,12,42,67,35,39,39,0,0
301116,21,45,72,27,31,40,0,0
301628,19,50,66,33,30,39,0,0
302140,22,48,88,32,44,59,0,0
302652,19,52,92,37,43,58,0,0
303164,19,51,90,36,46,61,0,0
303676,17,51,90,34,42,62,0,0
304188,18,48,90,36,45,61,0,0
304700,15,46,89,39,46,66,0,0
305212,18,53,92,36,44,64,0,0
305724,17,47,84,36,48,61,0,0
306236,20,46,93,32,47,62,0,0
306748,20,52,89,36,42,64,0,0
307260,16,65,76,42,38,12,0,0
307772,14,62,75,51,41,7,0,0
308284,14,63,73,51,39,10,0,0
308796,12,70,78,48,37,11,0,0
309308,12,64,76,49,40,10,0,0
309820,10,67,76,52,37,15,0,0
310332,14,63,78,47,34,9,0,0
310844,12,58,76,47,40,6,0,0
311356,17,61,77,45,38,8,0,0
311868,16,65,79,45,34,11,0,0
312380,20,68,98,44,46,38,0,0
312892,18,65,95,51,48,39,0,0
313404,16,68,96,53,46,42,0,0
313916,13,70,99,50,48,38,0,0
314428,17,68,91,50,50,32,0,0
314940,12,70,91,53,50,40,0,0
315452,14,68,97,51,46,35,0,0
315964,15,63,100,50,51,35,0,0
316476,19,63,95,46,50,34,0,0
316988,18,67,99,48,43,36,0,0
